Price	Close	Close	Close	High	High	High	Low	Low	Low	Open	Open	Open	Volume	Volume	Volume
Ticker	AM.PA	SAP.DE	SIE.DE	AM.PA	SAP.DE	SIE.DE	AM.PA	SAP.DE	SIE.DE	AM.PA	SAP.DE	SIE.DE	AM.PA	SAP.DE	SIE.DE
Date															
06-04-23	177.8184357	112.5840759	134.0763855	177.9136844	113.3731264	136.8316488	174.1039695	111.4293704	132.993286	174.8659154	111.5833277	136.6226283	33644	1555113	1654215
11-04-23	177.5326996	111.6988068	136.1855774	179.2470741	112.8342704	136.9266447	176.6755196	111.121454	135.6345247	178.1041626	112.5840815	136.0525657	41610	1506335	1285336
12-04-23	176.2945709	112.2184219	137.5917206	179.0566085	113.1229386	138.6178026	175.6278592	111.1984245	135.8625538	177.151751	111.4293714	135.8815597	46854	1311915	913835
13-04-23	175.9135742	111.5833282	137.0786591	179.5328061	111.8527591	138.4657935	175.9135742	110.1591919	136.1285713	177.0564857	111.5448371	137.7627234	50964	1533135	1011747
14-04-23	174.2944489	111.5833282	138.8648376	176.389789	112.8342654	138.9788435	173.1515373	111.2369151	137.2116796	176.2945549	112.083706	137.5157147	42224	1377925	1048371
17-04-23	174.8659058	111.9682388	139.7199097	176.2945487	112.4878586	140.4229799	174.2944428	111.390886	138.7318247	174.6754084	111.698808	138.8838278	48386	961272	742557
18-04-23	173.2467651	112.3146591	139.8529205	175.8183341	112.9112539	140.7650112	172.6753167	110.9097645	139.130859	175.8183341	111.6025909	139.8529205	38419	1328433	857946
19-04-23	173.151535	111.6410751	139.2638702	175.1516265	112.5648485	139.5868966	172.8658035	111.217687	138.5798059	175.1516265	111.4101355	139.4918965	28618	1366305	605944
20-04-23	173.7229919	111.2369232	138.7128143	174.6754207	111.8335253	139.9479313	171.0562032	110.524855	137.515709	171.6276517	111.3523967	139.4538816	63549	2109023	1021735
21-04-23	171.1514435	117.0681992	138.3707886	175.1516413	118.0496981	139.054853	171.1514435	108.8312736	136.1665924	173.8182469	109.9090042	138.1427623	33877	4674777	1464688
24-04-23	169.5323181	115.3553848	138.389801	171.4371756	116.7025463	138.9788509	169.5323181	114.8165232	137.7627396	170.6752297	115.9712288	137.8197425	25660	1847711	699541
25-04-23	167.6274567	117.953476	140.023941	169.8180457	118.4730957	140.3279616	166.8655108	116.7795211	137.6297158	169.5323141	117.1451762	138.6178007	32446	2187806	1039957
26-04-23	167.6274567	117.1066895	138.408783	168.7703682	118.5115913	139.0548502	166.2940623	116.9334829	136.0335635	167.8179395	117.3761276	138.7318238	47555	1923309	1247063
27-04-23	168.6751251	118.9542236	140.0049438	170.1037681	119.0504479	141.0500463	167.0559847	116.3946163	136.9076627	168.1989108	116.7410294	138.7698268	37933	1666469	1172609
28-04-23	168.8656006	118.2229156	141.4680786	170.008512	119.8972411	141.5250961	167.5321918	117.8380113	137.7627417	168.7703519	119.1274397	140.4609878	49498	1914689	1499857
02-05-23	168.1036682	117.3568802	139.9669342	169.7227941	119.1081879	143.4062472	167.1512395	117.1451824	139.7579137	167.7227025	118.0497065	141.4870659	40428	1517203	1235099
03-05-23	169.5323181	118.7040329	142.0191193	170.1037812	119.2428945	142.9312099	168.103675	117.8572493	140.1949524	168.1989237	118.2421463	140.7269993	32707	1379347	1051465
04-05-23	164.2939453	117.3183823	141.088028	169.9132686	118.8002591	142.3801478	163.9129797	116.3946163	140.3279549	169.8180345	118.6270525	141.3540514	40232	1851910	943242
05-05-23	162.2938538	117.5685806	142.9692078	165.0559059	118.3961224	142.9692078	158.4841387	116.8180212	140.4419852	163.6272627	118.0882004	141.4110644	84483	1551542	1044591
08-05-23	161.5319061	118.3576202	142.3421631	163.2462661	119.0889377	143.6342686	161.4366574	117.6263028	142.2471485	162.5795689	117.7032851	143.1782305	25560	1148374	626640
09-05-23	162.3890839	117.9727173	143.1212311	163.2462638	118.4538458	143.235237	161.1509237	117.4530976	141.5630876	162.198601	118.3383797	142.0381315	62853	1147784	906860
10-05-23	160.9604492	118.0496979	141.7151031	163.341521	118.5115845	143.5582758	160.293752	117.4146047	140.1569597	162.9605553	117.7802671	143.0832319	38859	1265485	1148237
